expert_name,youtube_url,video_title,author
Amanda Natividad,https://youtu.be/r5WxZgP68H4,Where Zero-Click Marketing Happens,Amanda Natividad
Chris Walker,https://youtu.be/...,Build a Business That Serves Your Life,Chris Walker
Dave Gerhardt,https://youtu.be/...,B2B Marketing Strategy Interview,Dave Gerhardt
Erica Schneider,https://www.howsolosscale.com/p/35-solo-forever,Solo Forever Podcast,Erica Schneider
George Chasiotis,https://youtu.be/...,AI Search & SEO Strategy,George Chasiotis
Justin Welsh,https://youtu.be/...,Build a One-Person Business,Justin Welsh
Richard van der Blom,https://youtu.be/...,LinkedIn Authority & Content Strategy,Richard van der Blom
Ross Simmonds,https://youtu.be/...,AI Transformation & Workflow Design,Ross Simmonds
Samantha McKenna,https://youtu.be/H5zsGa9FeuI,Show Me You Know Me Sales Methodology,Samantha McKenna
Shamal Badhe,N/A,No substantial long-form interview available,Shamal Badhe
